timestamp,belt_speed,motor_current,vibration_rms
2026-08-09T00:00:00+00:00,1.25,12.58,1.12
2026-08-09T01:00:00+00:00,1.11,12.29,1.28
2026-08-09T02:00:00+00:00,1.23,12.68,1.19
2026-08-09T03:00:00+00:00,1.20,12.45,1.09
2026-08-09T04:00:00+00:00,1.24,12.24,0.97
2026-08-09T05:00:00+00:00,1.21,12.09,1.10
2026-08-09T06:00:00+00:00,1.25,12.56,0.99
2026-08-09T07:00:00+00:00,1.20,12.56,1.03
2026-08-09T08:00:00+00:00,1.18,13.23,1.32
2026-08-09T09:00:00+00:00,1.22,12.32,1.23
2026-08-09T10:00:00+00:00,1.21,13.14,1.14
2026-08-09T11:00:00+00:00,1.19,12.64,1.19
2026-08-09T12:00:00+00:00,1.19,12.97,0.88
2026-08-09T13:00:00+00:00,1.22,12.14,1.11
2026-08-09T14:00:00+00:00,1.22,12.15,0.84
2026-08-09T15:00:00+00:00,1.19,12.38,1.00
2026-08-09T16:00:00+00:00,1.19,12.86,1.15
2026-08-09T17:00:00+00:00,1.15,12.57,1.15
2026-08-09T18:00:00+00:00,1.25,12.80,1.20
2026-08-09T19:00:00+00:00,1.19,12.63,1.12
2026-08-09T20:00:00+00:00,1.24,12.91,1.10
2026-08-09T21:00:00+00:00,1.21,12.58,1.09
2026-08-09T22:00:00+00:00,1.26,12.29,1.30
2026-08-09T23:00:00+00:00,1.25,12.71,1.29
2026-08-10T00:00:00+00:00,1.21,12.54,0.87
2026-08-10T01:00:00+00:00,1.24,13.20,1.11
2026-08-10T02:00:00+00:00,1.17,12.44,1.29
2026-08-10T03:00:00+00:00,1.24,12.54,1.05
2026-08-10T04:00:00+00:00,1.16,12.38,1.12
2026-08-10T05:00:00+00:00,1.21,12.96,1.00
2026-08-10T06:00:00+00:00,1.23,12.85,0.91
2026-08-10T07:00:00+00:00,1.21,12.76,1.11
2026-08-10T08:00:00+00:00,1.19,12.00,1.03
2026-08-10T09:00:00+00:00,1.18,11.89,1.06
2026-08-10T10:00:00+00:00,1.19,12.61,0.87
2026-08-10T11:00:00+00:00,1.23,12.79,0.91
2026-08-10T12:00:00+00:00,1.23,13.09,1.07
2026-08-10T13:00:00+00:00,1.19,11.78,1.02
2026-08-10T14:00:00+00:00,1.16,12.43,1.17
2026-08-10T15:00:00+00:00,1.22,11.82,0.93
2026-08-10T16:00:00+00:00,1.16,12.12,1.19
2026-08-10T17:00:00+00:00,1.18,12.41,1.17
2026-08-10T18:00:00+00:00,1.18,12.89,1.10
2026-08-10T19:00:00+00:00,1.22,12.29,1.18
2026-08-10T20:00:00+00:00,1.21,12.21,1.07
