timestamp,pressure,flow_rate,vibration_rms
2026-08-09T00:00:00+00:00,4.50,123.84,1.69
2026-08-09T01:00:00+00:00,4.54,117.28,1.43
2026-08-09T02:00:00+00:00,4.46,123.24,1.27
2026-08-09T03:00:00+00:00,4.37,124.57,1.31
2026-08-09T04:00:00+00:00,4.43,120.78,1.73
2026-08-09T05:00:00+00:00,4.35,121.66,1.45
2026-08-09T06:00:00+00:00,4.51,125.86,1.57
2026-08-09T07:00:00+00:00,4.70,119.41,1.64
2026-08-09T08:00:00+00:00,4.43,118.22,1.72
2026-08-09T09:00:00+00:00,4.41,115.94,1.53
2026-08-09T10:00:00+00:00,4.57,120.13,1.70
2026-08-09T11:00:00+00:00,4.55,124.44,1.42
2026-08-09T12:00:00+00:00,4.52,122.88,1.53
2026-08-09T13:00:00+00:00,4.36,117.17,1.40
2026-08-09T14:00:00+00:00,4.50,117.43,1.83
2026-08-09T15:00:00+00:00,4.60,118.49,1.59
2026-08-09T16:00:00+00:00,4.30,120.88,1.45
2026-08-09T17:00:00+00:00,4.43,119.38,1.53
2026-08-09T18:00:00+00:00,4.21,120.64,1.56
2026-08-09T19:00:00+00:00,4.31,120.89,1.74
2026-08-09T20:00:00+00:00,4.22,119.10,1.28
2026-08-09T21:00:00+00:00,4.46,119.88,1.39
2026-08-09T22:00:00+00:00,4.31,120.62,1.52
2026-08-09T23:00:00+00:00,4.54,119.75,2.11
2026-08-10T00:00:00+00:00,4.52,121.51,1.79
2026-08-10T01:00:00+00:00,4.47,125.61,1.58
2026-08-10T02:00:00+00:00,4.12,121.78,1.74
2026-08-10T03:00:00+00:00,4.42,120.17,2.01
2026-08-10T04:00:00+00:00,4.49,114.94,1.55
2026-08-10T05:00:00+00:00,4.52,121.16,1.53
2026-08-10T06:00:00+00:00,4.27,114.16,1.84
2026-08-10T07:00:00+00:00,4.43,115.77,1.70
2026-08-10T08:00:00+00:00,4.35,122.56,1.73
2026-08-10T09:00:00+00:00,4.38,122.12,1.50
2026-08-10T10:00:00+00:00,4.66,119.55,1.98
2026-08-10T11:00:00+00:00,4.38,114.87,1.94
2026-08-10T12:00:00+00:00,4.50,118.89,1.71
2026-08-10T13:00:00+00:00,4.63,117.96,1.74
2026-08-10T14:00:00+00:00,4.41,121.91,1.19
2026-08-10T15:00:00+00:00,4.48,126.77,1.73
2026-08-10T16:00:00+00:00,4.52,120.65,1.56
2026-08-10T17:00:00+00:00,4.51,117.66,1.69
2026-08-10T18:00:00+00:00,4.32,116.49,1.74
2026-08-10T19:00:00+00:00,4.51,119.83,1.53
2026-08-10T20:00:00+00:00,4.70,119.47,1.26
2026-08-10T21:00:00+00:00,4.27,116.55,1.67
2026-08-10T22:00:00+00:00,4.63,120.35,1.45
2026-08-10T23:00:00+00:00,4.52,116.55,1.53
2026-08-11T00:00:00+00:00,4.40,123.34,1.48
2026-08-11T01:00:00+00:00,4.80,123.19,1.53
2026-08-11T02:00:00+00:00,4.61,123.25,1.14
2026-08-11T03:00:00+00:00,4.32,118.58,1.84
2026-08-11T04:00:00+00:00,4.51,121.54,1.65
2026-08-11T05:00:00+00:00,4.59,119.60,1.82
2026-08-11T06:00:00+00:00,4.47,118.83,2.00
2026-08-11T07:00:00+00:00,4.60,118.98,1.60
2026-08-11T08:00:00+00:00,4.49,116.10,1.24
2026-08-11T09:00:00+00:00,4.60,115.67,1.42
2026-08-11T10:00:00+00:00,4.72,122.38,1.36
2026-08-11T11:00:00+00:00,4.40,119.43,1.50
2026-08-11T12:00:00+00:00,4.53,120.65,1.62
2026-08-11T13:00:00+00:00,4.43,123.01,1.20
2026-08-11T14:00:00+00:00,4.52,114.80,1.67
2026-08-11T15:00:00+00:00,4.32,117.65,1.30
2026-08-11T16:00:00+00:00,4.41,120.53,1.66
2026-08-11T17:00:00+00:00,4.47,121.18,1.58
2026-08-11T18:00:00+00:00,4.63,118.87,1.54
2026-08-11T19:00:00+00:00,4.67,123.09,1.59
2026-08-11T20:00:00+00:00,4.30,120.63,1.49
2026-08-11T21:00:00+00:00,4.38,116.36,1.48
2026-08-11T22:00:00+00:00,4.60,117.21,1.26
2026-08-11T23:00:00+00:00,4.20,122.42,1.59
2026-08-12T00:00:00+00:00,4.43,121.39,1.97
2026-08-12T01:00:00+00:00,4.49,114.30,2.00
2026-08-12T02:00:00+00:00,4.69,124.04,1.86
2026-08-12T03:00:00+00:00,4.60,121.79,1.74
2026-08-12T04:00:00+00:00,4.45,124.03,1.46
2026-08-12T05:00:00+00:00,4.44,118.85,1.89
2026-08-12T06:00:00+00:00,4.46,119.11,1.59
2026-08-12T07:00:00+00:00,4.73,116.62,1.59
